The Many Adventures of Winnie the Pooh,it's a small world,147
Tomorrowland Speedway,Tomorrowland Transit Authority PeopleMover,112
Tomorrowland Speedway,Under the Sea - Journey of The Little Mermaid,214
Tomorrowland Speedway,Walt Disney's Carousel of Progress,142
Tomorrowland Speedway,Walt Disney's Enchanted Tiki Room,398
Tomorrowland Speedway,it's a small world,255
Tomorrowland Transit Authority PeopleMover,Under the Sea - Journey of The Little Mermaid,325
Tomorrowland Transit Authority PeopleMover,Walt Disney's Carousel of Progress,36
Tomorrowland Transit Authority PeopleMover,Walt Disney's Enchanted Tiki Room,377
Tomorrowland Transit Authority PeopleMover,it's a small world,334
Under the Sea - Journey of The Little Mermaid,Walt Disney's Carousel of Progress,351
Under the Sea - Journey of The Little Mermaid,Walt Disney's Enchanted Tiki Room,494
Under the Sea - Journey of The Little Mermaid,it's a small world,235
Walt Disney's Carousel of Progress,Walt Disney's Enchanted Tiki Room,385
Walt Disney's Carousel of Progress,it's a small world,342
Walt Disney's Enchanted Tiki Room,it's a small world,276
